,District,Member,Party,Assumed office,STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geometry,Count,Accuracy,Volume,accuracy_q,volume_q,count_q,accuracy_color,volume_color,count_color
AL02,Alabama 2,Barry Moore,R,2021.0,Alabama,02,0102,Congressional District 2,C2,116,G5200,N,26270297702,303013631,+31.7020846,-086.0768417,"POLYGON ((-87.427516 31.26274, -87.420796 31.27652, -87.40394499999999 31.289367, -87.401217 31.294084, -87.394777 31.299979, -87.387753 31.302541, -87.369274 31.315031, -87.359763 31.317747, -87.355395 31.330682, -87.348009 31.340396, -87.34607 31.35049, -87.338273 31.351798, -87.332179 31.355251, -87.324843 31.365436, -87.31839600000001 31.378198, -87.309556 31.384096, -87.306438 31.390133, -87.29672100000001 31.401278, -87.28461299999999 31.408347, -87.27430699999999 31.410994, -87.268563 31.420679, -87.243826 31.438686, -87.22999299999999 31.453419, -87.208551 31.457285, -87.20593100000001 31.459025, -87.19722 31.472367, -87.197237 31.479626, -87.19345199999999 31.484659, -87.18799300000001 31.487942, -87.165333 31.521571, -87.167733 31.534801, -87.165351 31.544127, -87.15976499999999 31.548894, -87.16083999999999 31.55908, -87.156976 31.570847, -87.153299 31.578673, -87.144004 31.589206, -87.140545 31.608316, -87.13731199999999 31.613154, -87.139574 31.624784, -87.13565199999999 31.641978, -87.128317 31.644053, -87.122045 31.643801, -87.113817 31.649156, -87.106821 31.65154, -87.089933 31.652585, -87.083741 31.658114, -87.078014 31.666578, -87.07047900000001 31.669642, -87.06455800000001 31.669867, -87.05948100000001 31.674038, -87.055967 31.677381, -87.061502 31.691777, -87.061038 31.704462, -87.050785 31.718595, -87.048903 31.719321, -87.044354 31.716442, -87.02445299999999 31.712553, -87.019431 31.714214, -87.012351 31.713444, -87.00447 31.714859, -86.99529699999999 31.7197, -86.98861599999999 31.718791, -86.976913 31.727684, -86.95719099999999 31.731552, -86.95414599999999 31.734716, -86.948725 31.734883, -86.94729700000001 31.739368, -86.933897 31.746158, -86.91798300000001 31.749283, -86.91191999999999 31.752695, -86.90589900000001 31.753035, -86.908939 31.961673, -86.41662100000001 31.964853, -86.405005 31.963775, -86.406047 32.036819, -86.39635699999999 32.036985, -86.396505 32.043971, -86.40616199999999 32.043805, -86.408272 32.208976, -86.38775099999999 32.226826, -86.38426200000001 32.224052, -86.373642 32.226039, -86.372793 32.223692, -86.36685300000001 32.219344, -86.36797900000001 32.217053, -86.365146 32.215947, -86.36596400000001 32.215214, -86.36606 32.214409, -86.35923099999999 32.215277, -86.354136 32.210852, -86.34891399999999 32.21079, -86.34861100000001 32.228686, -86.34460799999999 32.240547, -86.322833 32.220013, -86.300769 32.219544, -86.29615699999999 32.241483, -86.30558000000001 32.255885, -86.30883 32.277807, -86.30678399999999 32.277841, -86.30742600000001 32.307219, -86.29982200000001 32.307637, -86.296689 32.305527, -86.296986 32.301946, -86.299159 32.301503, -86.296156 32.300521, -86.298446 32.296411, -86.296514 32.295198, -86.29427800000001 32.296982, -86.290843 32.291511, -86.28790499999999 32.290588, -86.286646 32.285438, -86.27969400000001 32.282977, -86.280553 32.284197, -86.278362 32.284295, -86.273946 32.288485, -86.26887600000001 32.289809, -86.268914 32.291328, -86.265355 32.287602, -86.257902 32.292606, -86.239664 32.29291, -86.239063 32.306691, -86.231904 32.311691, -86.229056 32.315688, -86.241195 32.327191, -86.299216 32.326703, -86.300737 32.337308, -86.299442 32.337333, -86.299615 32.344582, -86.306478 32.344515, -86.306853 32.359125, -86.299913 32.359172, -86.29997 32.36309, -86.290684 32.359217, -86.281497 32.357892, -86.281555 32.361089, -86.27318200000001 32.361057, -86.278932 32.365723, -86.287767 32.365511, -86.29487899999999 32.368074, -86.322338 32.367261, -86.32217799999999 32.378061, -86.339333 32.367998, -86.43606699999999 32.331314, -86.443138 32.319249, -86.443243 32.30055, -86.455415 32.293359, -86.46863500000001 32.291124, -86.484701 32.284492, -86.489462 32.287844, -86.485173 32.289158, -86.485033 32.290945, -86.48856499999999 32.291722, -86.489673 32.293771, -86.486943 32.297133, -86.48811600000001 32.299118, -86.483969 32.299066, -86.486295 32.301136, -86.491055 32.301622, -86.489389 32.305473, -86.48478299999999 32.305984, -86.48562800000001 32.312153, -86.482662 32.31313, -86.483626 32.31499, -86.487695 32.316262, -86.48779500000001 32.319184, -86.480175 32.315105, -86.47819 32.320686, -86.481652 32.324046, -86.475312 32.322696, -86.473415 32.324126, -86.478539 32.328297, -86.474521 32.330692, -86.475008 32.332003, -86.47920999999999 32.33109, -86.481582 32.332309, -86.486366 32.329498, -86.483921 32.33312, -86.484413 32.335984, -86.478453 32.337702, -86.47863 32.339838, -86.488641 32.338728, -86.48853099999999 32.340636, -86.48576799999999 32.341385, -86.488219 32.342577, -86.491225 32.340823, -86.493208 32.33715, -86.494844 32.341191, -86.49851 32.339442, -86.496774 32.344437, -86.53253100000001 32.338775, -86.537215 32.341262, -86.53925099999999 32.3452, -86.544042 32.366356, -86.547899 32.369242, -86.55894600000001 32.369033, -86.573809 32.375822, -86.581873 32.375019, -86.588342 32.367658, -86.590571 32.362125, -86.59533500000001 32.361345, -86.614841 32.374266, -86.616619 32.379904, -86.614074 32.388302, -86.61345300000001 32.398584, -86.616387 32.404097, -86.621405 32.406682, -86.630933 32.402113, -86.642459 32.402926, -86.651507 32.399317, -86.653953 32.396279, -86.65579 32.388689, -86.653831 32.382519, -86.655597 32.376147, -86.67642600000001 32.357264, -86.683537 32.353395, -86.711337 32.360767, -86.714118 32.362887, -86.719718 32.375137, -86.719967 32.391154, -86.717209 32.401287, -86.72095400000001 32.404812, -86.727181 32.404497, -86.73737199999999 32.39473, -86.748514 32.38935, -86.75739799999999 32.389239, -86.771681 32.394796, -86.77836499999999 32.394601, -86.782141 32.390473, -86.782218 32.370288, -86.780447 32.3686, -86.773163 32.340728, -86.791073 32.314611, -86.79826799999999 32.308632, -86.810802 32.307574, -86.816107 32.30997, -86.820273 32.315007, -86.820921 32.33324, -86.819706 32.336799, -86.809259 32.345501, -86.807438 32.348593, -86.807378 32.354356, -86.815399 32.370821, -86.82724399999999 32.378816, -86.83364400000001 32.38964, -86.842378 32.398283, -86.846149 32.409725, -86.845448 32.415416, -86.84378100000001 32.417067, -86.836393 32.420143, -86.82808199999999 32.420749, -86.824394 32.424725, -86.828371 32.428207, -86.841522 32.431787, -86.849898 32.438325, -86.857201 32.43837, -86.859657 32.440216, -86.866663 32.437798, -86.86632299999999 32.443638, -86.85995 32.450628, -86.86441499999999 32.45835, -86.86969000000001 32.458512, -86.87116899999999 32.464951, -86.869139 32.468342, -86.87311200000001 32.468632, -86.87348 32.472459, -86.876902 32.474294, -86.877937 32.478822, -86.885158 32.482227, -86.88046 32.483593, -86.879092 32.486407, -86.88409799999999 32.490863, -86.882369 32.492103, -86.88185300000001 32.495487, -86.890367 32.502455, -86.889616 32.510184, -86.891627 32.510922, -86.890475 32.51352, -86.894621 32.514904, -86.89505699999999 32.521496, -86.903818 32.530473, -86.90109 32.532486, -86.901943 32.535856, -86.90674199999999 32.536977, -86.90604 32.539962, -86.90309600000001 32.540626, -86.906688 32.543522, -86.90373200000001 32.551028, -86.904732 32.554071, -86.899601 32.556989, -86.900499 32.558883, -86.89796800000001 32.566848, -86.90015099999999 32.56931, -86.90136699999999 32.574834, -86.898707 32.577446, -86.903898 32.583745, -86.90277 32.587173, -86.9054 32.588876, -86.903645 32.592606, -86.906234 32.597485, -86.906648 32.604352, -86.90858900000001 32.606418, -86.905895 32.60808, -86.909881 32.608192, -86.90952900000001 32.610766, -86.912254 32.611461, -86.909617 32.613698, -86.909544 32.617658, -86.91232100000001 32.619843, -86.91115000000001 32.623506, -86.91282200000001 32.625051, -86.910859 32.629088, -86.91378 32.637354, -86.916078 32.63864, -86.91592 32.640458, -86.918865 32.643818, -86.91763899999999 32.646813, -86.91318699999999 32.648018, -86.91815200000001 32.651356, -86.918054 32.654186, -86.921205 32.656475, -86.91759500000001 32.664169, -86.816574 32.660117, -86.71339 32.661732, -86.714219 32.705694, -86.413116 32.707386, -86.413335 32.750591, -86.371118 32.750627, -86.37497399999999 32.75358, -86.33676800000001 32.753783, -86.33669399999999 32.76813, -86.319163 32.767837, -86.31948 32.753698, -85.972159 32.75493, -85.972763 32.769225, -85.955561 32.769126, -85.954859 32.754824, -85.87985999999999 32.754528, -85.88206 32.750428, -85.880346 32.739976, -85.89340199999999 32.727663, -85.89127000000001 32.714989, -85.898641 32.70517, -85.903662 32.703609, -85.90747 32.699302, -85.911607 32.684379, -85.911714 32.67784, -85.906963 32.672966, -85.90588200000001 32.667624, -85.90099600000001 32.660173, -85.889796 32.651702, -85.887747 32.64761, -85.894559 32.614731, -85.894559 32.603132, -85.889459 32.574733, -85.890709 32.570338, -85.88525799999999 32.545434, -85.89065100000001 32.521752, -85.89039200000001 32.500135, -85.887238 32.493913, -85.87495699999999 32.484336, -85.86450499999999 32.47966, -85.855413 32.480383, -85.853543 32.478899, -85.853041 32.475265, -85.862489 32.476404, -85.874495 32.472924, -85.87451799999999 32.469039, -85.878512 32.464157, -85.87854299999999 32.459077, -85.88233 32.454406, -85.878407 32.451864, -85.878604 32.450605, -85.889641 32.447521, -85.89442 32.447578, -85.900741 32.450408, -85.922398 32.451839, -85.92996100000001 32.454281, -85.94444799999999 32.44429, -85.957182 32.440761, -85.960617 32.442072, -85.964011 32.449562, -85.97678000000001 32.454019, -85.979669 32.452897, -85.98062899999999 32.450535, -85.974395 32.445701, -85.97954900000001 32.440871, -85.983662 32.439389, -85.98944400000001 32.445625, -85.98924599999999 32.45127, -85.992142 32.452498, -85.99645099999999 32.445766, -85.990489 32.43529, -85.99256200000001 32.430127, -85.99996 32.426969, -86.008422 32.428347, -86.01865599999999 32.419921, -86.022699 32.419834, -86.03069600000001 32.42281, -86.03778200000001 32.421401, -86.04403600000001 32.415975, -86.04369 32.408706, -86.046402 32.406146, -86.07698499999999 32.411915, -86.087192 32.421813, -86.093467 32.418763, -86.10552199999999 32.418763, -86.115287 32.415995, -86.11854200000001 32.424152, -86.125034 32.41979, -86.13035000000001 32.42334, -86.124559 32.431426, -86.12545 32.434049, -86.131203 32.430765, -86.138381 32.430154, -86.143872 32.426321, -86.151034 32.424636, -86.154771 32.427729, -86.154464 32.434694, -86.159854 32.434666, -86.16634500000001 32.439269, -86.177257 32.44044, -86.18403600000001 32.433776, -86.189252 32.43231, -86.19346 32.435895, -86.192566 32.43394, -86.194062 32.43363, -86.1938 32.432142, -86.185959 32.429492, -86.185868 32.426378, -86.187146 32.425767, -86.183216 32.421894, -86.184603 32.415798, -86.170734 32.411363, -86.170903 32.405175, -86.17584100000001 32.404086, -86.176528 32.40061, -86.186514 32.402966, -86.194715 32.393672, -86.198493 32.392902, -86.19919 32.382142, -86.16203899999999 32.382134, -86.140197 32.370558, -86.138659 32.368035, -86.171391 32.361865, -86.17194000000001 32.35496, -86.178918 32.345088, -86.174333 32.34422, -86.17287399999999 32.344907, -86.174007 32.346826, -86.172167 32.345787, -86.16999300000001 32.348571, -86.16825300000001 32.347592, -86.168103 32.34465, -86.170598 32.34315, -86.168074 32.343576, -86.16701399999999 32.342097, -86.16857400000001 32.34094, -86.166214 32.341447, -86.164584 32.338763, -86.162245 32.338752, -86.162143 32.328007, -86.166438 32.31568, -86.17419599999999 32.308816, -86.175535 32.294866, -86.190647 32.291901, -86.16588 32.267122, -86.134201 32.243, -86.119367 32.228046, -86.118065 32.223873, -86.117193 32.168132, -86.11258599999999 32.15589, -86.09708999999999 32.155875, -86.08376800000001 32.159087, -86.083074 32.163668, -86.066692 32.168425, -86.056181 32.162336, -86.0381 32.144717, -85.99785900000001 32.141605, -85.999258 32.250178, -85.986546 32.250636, -85.986557 32.272342, -85.898689 32.274987, -85.898844 32.305171, -85.896387 32.305214, -85.893929 32.301896, -85.89381899999999 32.298493, -85.88920299999999 32.295791, -85.88297799999999 32.294929, -85.8779 32.291578, -85.87762499999999 32.286839, -85.874636 32.283147, -85.87585300000001 32.28276, -85.874679 32.281905, -85.876099 32.279026, -85.871301 32.273744, -85.87514299999999 32.27366, -85.87518900000001 32.269914, -85.87382599999999 32.269371, -85.875077 32.267456, -85.87769 32.267713, -85.87881400000001 32.265434, -85.87646700000001 32.246699, -85.873261 32.245482, -85.870086 32.246411, -85.870901 32.244526, -85.868585 32.243068, -85.868033 32.239925, -85.866501 32.240059, -85.86286 32.234893, -85.85829 32.234568, -85.85725100000001 32.232384, -85.855226 32.232651, -85.856218 32.231975, -85.433543 32.234648, -85.427441 32.146551, -85.25774699999999 32.148251, -85.25982999999999 32.142778, -85.258027 32.140121, -85.259778 32.13854, -85.25609 32.137669, -85.25568800000001 32.135607, -85.253561 32.136271, -85.254369 32.134622, -85.251678 32.133957, -85.25184 32.132765, -85.249544 32.133156, -85.249937 32.134416, -85.24773999999999 32.133662, -85.250015 32.130094, -85.246931 32.132013, -85.24630999999999 32.129379, -85.24396900000001 32.130754, -85.24052 32.127136, -85.23799 32.126817, -85.236261 32.123871, -85.245425 32.123424, -85.24549500000001 32.119143, -85.234227 32.119553, -85.234723 32.116014, -85.232786 32.116633, -85.23227300000001 32.114297, -85.23047 32.114389, -85.229635 32.112625, -85.23065699999999 32.111435, -85.228476 32.107723, -85.230924 32.106189, -85.227694 32.105227, -85.229254 32.102936, -85.22842 32.10163, -85.218271 32.094028, -85.214693 32.09554, -85.21122099999999 32.094327, -85.210386 32.092219, -85.208234 32.092792, -85.20947099999999 32.090249, -85.20527300000001 32.088943, -85.206834 32.08679, -85.199838 32.08276, -85.195801 32.082417, -85.196904 32.079439, -85.194913 32.079507, -85.192196 32.075522, -85.19351399999999 32.07394, -85.19593500000001 32.074742, -85.194402 32.072544, -85.195639 32.071489, -85.19386299999999 32.070574, -85.19483200000001 32.069336, -85.192196 32.069566, -85.191953 32.064777, -85.189667 32.065236, -85.185067 32.061708, -85.11337399999999 32.062393, -85.113187 32.069575, -85.104781 32.069753, -85.104978 32.062539, -85.05593 32.063055, -85.05883 32.046656, -85.053532 32.035952, -85.05803400000001 32.033606, -85.057768 32.031815, -85.056253 32.028336, -85.04882499999999 32.021701, -85.053669 32.020662, -85.055308 32.017753, -85.053815 32.013502, -85.055075 32.010714, -85.063441 32.00414, -85.06733 31.995557, -85.06833 31.986757, -85.07093 31.981658, -85.065929 31.972458, -85.067829 31.967358, -85.07393 31.964158, -85.08323 31.962458, -85.08673 31.959158, -85.08243 31.945358, -85.07893 31.940159, -85.08642999999999 31.935959, -85.09183 31.928859, -85.09953 31.925259, -85.10243 31.917359, -85.113131 31.911859, -85.10803 31.90516, -85.11223099999999 31.90276, -85.11063 31.89686, -85.11203 31.89476, -85.115031 31.89306, -85.134131 31.89216, -85.12843100000001 31.87756, -85.133731 31.870061, -85.135831 31.862461, -85.140731 31.857461, -85.138031 31.851262, -85.137731 31.845861, -85.141831 31.839261, -85.137731 31.832162, -85.13193099999999 31.827062, -85.134531 31.824962, -85.131231 31.816762, -85.132931 31.808062, -85.132231 31.795162, -85.132931 31.792363, -85.141931 31.781963, -85.12523 31.767063, -85.129231 31.758663, -85.12203 31.744064, -85.11893000000001 31.732664, -85.12193000000001 31.727364, -85.12223 31.722764, -85.12653 31.716764, -85.12553 31.694965, -85.12233000000001 31.691265, -85.11393 31.686865, -85.10943 31.677465, -85.092429 31.659966, -85.07912899999999 31.654766, -85.078029 31.651566, -85.082629 31.650266, -85.087029 31.640966, -85.086229 31.638567, -85.080029 31.636867, -85.073829 31.629567, -85.05816900000001 31.620227, -85.05752699999999 31.616883, -85.060552 31.608224, -85.055976 31.605175, -85.05844 31.58369, -85.055284 31.577596, -85.05795999999999 31.57084, -85.052931 31.56289, -85.050838 31.555551, -85.042547 31.545953, -85.04136099999999 31.542495, -85.041813 31.537754, -85.04826300000001 31.526012, -85.044556 31.520908, -85.04498599999999 31.51823, -85.056928 31.500171, -85.062105 31.488017, -85.065259 31.484924, -85.07162099999999 31.468384, -85.065955 31.442979, -85.066012 31.430529, -85.068546 31.427311, -85.073702 31.428959, -85.07589299999999 31.424928, -85.076746 31.415971, -85.079978 31.410472, -85.077387 31.402844, -85.077626 31.39888, -85.080403 31.393932, -85.082431 31.38454, -85.092327 31.364049, -85.091791 31.355207, -85.08591800000001 31.353146, -85.08708900000001 31.340321, -85.089423 31.336028, -85.084152 31.328313, -85.083697 31.323846, -85.083776 31.31821, -85.08740400000001 31.311223, -85.08977400000001 31.295026, -85.098713 31.284455, -85.11035800000001 31.281747, -85.11460099999999 31.277333, -85.11190499999999 31.272477, -85.11326099999999 31.264343, -85.112352 31.25958, -85.096763 31.225651, -85.098707 31.219511, -85.098704 31.211286, -85.10696299999999 31.202693, -85.107516 31.186451, -85.102052 31.184734, -85.098507 31.180153, -85.100207 31.16549, -85.092106 31.160293, -85.08358200000001 31.15963, -85.076628 31.156927, -85.069329 31.147008, -85.06402799999999 31.142495, -85.060433 31.131499, -85.054677 31.120818, -85.03561500000001 31.108192, -85.03545699999999 31.104344, -85.029736 31.096163, -85.026068 31.08418, -85.02857299999999 31.074583, -85.01815000000001 31.059254, -85.012642 31.055401, -85.00882 31.045574, -85.009407 31.032377, -85.00505099999999 31.024702, -85.004547 31.019182, -84.99942799999999 31.013844, -85.002499 31.000685, -85.24363200000001 31.000884, -85.50130299999999 30.996873, -85.998611 30.99287, -86.36547400000001 30.994553, -86.520196 30.993258, -86.563436 30.995223, -86.688317 30.994507, -86.688063 31.000179, -86.70022 31.000418, -86.700282 31.192217, -86.706654 31.194851, -86.70796300000001 31.193128, -86.70634800000001 31.191205, -86.70767600000001 31.190318, -86.711986 31.191627, -86.713598 31.19038, -86.720778 31.191165, -86.721084 31.18951, -86.71636700000001 31.185393, -86.720821 31.183384, -86.722398 31.185508, -86.72598499999999 31.183825, -86.727339 31.186498, -86.72803399999999 31.184664, -86.735996 31.185714, -86.737189 31.187358, -86.73266 31.189765, -86.733397 31.191621, -86.737365 31.191395, -86.738309 31.19431, -86.741399 31.195347, -86.747674 31.192349, -86.757206 31.192955, -86.76351200000001 31.181133, -86.76699600000001 31.182769, -86.762702 31.186977, -86.762197 31.191877, -86.765832 31.192362, -86.762899 31.196915, -86.767966 31.196848, -86.772519 31.202243, -86.76522199999999 31.207335, -86.772592 31.210657, -86.763569 31.221751, -86.76891500000001 31.228472, -86.769054 31.238454, -86.772812 31.243233, -86.77109 31.246902, -86.772263 31.250655, -86.76665300000001 31.254339, -86.76396099999999 31.261293, -87.427153 31.260379, -87.427516 31.26274))",6,0.1033044019782204,1.2466751147244597,9,9,2,#b11218,#b11218,#fcbba1
AL05,Alabama 5,Mo Brooks,R,2011.0,Alabama,05,0105,Congressional District 5,C2,116,G5200,N,9526355908,459160130,+34.7552973,-086.7118036,"POLYGON ((-88.20295900000001 35.008028, -87.41886 35.002668, -86.86214699999999 34.991957, -86.66956399999999 34.992339, -86.468115 34.99048, -86.374966 34.991738, -85.824023 34.988131, -85.605165 34.984678, -85.583145 34.860371, -85.58802300000001 34.859402, -85.593439 34.854363, -85.60216200000001 34.851361, -85.60293900000001 34.849758, -85.600965 34.846964, -85.607657 34.841512, -85.61323899999999 34.83993, -85.618818 34.835095, -85.617901 34.833973, -85.626886 34.832121, -85.634163 34.812962, -85.634468 34.79808, -85.66019799999999 34.754963, -85.673379 34.744915, -85.693037 34.74425, -85.785471 34.624584, -85.93854399999999 34.525354, -85.956935 34.507125, -85.956014 34.514136, -85.968056 34.520558, -85.971029 34.520497, -85.970878 34.512832, -85.966812 34.505217, -85.966156 34.498606, -85.97080699999999 34.496853, -85.97553600000001 34.491927, -85.984194 34.49094, -85.98375 34.487069, -85.985049 34.486152, -85.989282 34.486861, -85.99218399999999 34.483996, -85.995255 34.484339, -86.00384 34.480031, -86.014184 34.480975, -86.01559399999999 34.481639, -86.01343300000001 34.48574, -86.014758 34.487814, -86.02073900000001 34.487489, -86.033462 34.49318, -86.03703 34.494119, -86.040554 34.492988, -86.04634 34.497197, -86.049099 34.49703, -86.050539 34.505792, -86.05488099999999 34.503446, -86.069261 34.50273, -86.06352800000001 34.507821, -86.07459299999999 34.512939, -86.097741 34.512547, -86.095591 34.513987, -86.099949 34.515351, -86.097435 34.518896, -86.094695 34.519255, -86.096953 34.521413, -86.100178 34.521411, -86.10431199999999 34.518771, -86.108379 34.519617, -86.111133 34.52176, -86.11054300000001 34.524897, -86.108238 34.526571, -86.109768 34.528583, -86.113739 34.529364, -86.119568 34.524469, -86.12354499999999 34.527412, -86.127399 34.533819, -86.13001300000001 34.532581, -86.130619 34.529297, -86.14273900000001 34.521386, -86.145528 34.520011, -86.147764 34.520904, -86.13984600000001 34.533296, -86.145533 34.533479, -86.144127 34.534259, -86.143265 34.541172, -86.15508 34.550202, -86.149433 34.549747, -86.148464 34.599069, -86.245611 34.600116, -86.326958 34.599744, -86.32432799999999 34.598286, -86.316018 34.599627, -86.31081399999999 34.595519, -86.303471 34.593382, -86.307275 34.582514, -86.302368 34.582128, -86.29967600000001 34.580175, -86.313996 34.576587, -86.322351 34.576454, -86.327184 34.572101, -86.331581 34.573005, -86.329775 34.565631, -86.312636 34.56294, -86.30944599999999 34.564053, -86.306631 34.561058, -86.313045 34.550336, -86.311021 34.539485, -86.324499 34.529144, -86.327573 34.523512, -86.32809399999999 34.519015, -86.332953 34.518262, -86.329881 34.513037, -86.334856 34.512423, -86.334628 34.509393, -86.33756 34.509715, -86.355262 34.523513, -86.356793 34.520735, -86.362505 34.519018, -86.36440899999999 34.515989, -86.36921 34.513745, -86.38101 34.520503, -86.38445299999999 34.520542, -86.387393 34.51691, -86.38884400000001 34.519609, -86.39113399999999 34.51996, -86.392427 34.518096, -86.389635 34.510854, -86.39214699999999 34.507892, -86.38672800000001 34.50763, -86.387535 34.505245, -86.390108 34.50508, -86.388424 34.503051, -86.389059 34.499677, -86.397943 34.495048, -86.403807 34.497222, -86.412239 34.494303, -86.424314 34.479368, -86.435368 34.48352, -86.452856 34.484135, -86.46890999999999 34.475633, -86.47549100000001 34.479764, -86.486602 34.47998, -86.500497 34.482536, -86.533445 34.502795, -86.53594200000001 34.513595, -86.55055 34.539387, -86.550166 34.545963, -86.552818 34.543921, -86.58132000000001 34.371094, -86.581936 34.304694, -86.85488700000001 34.308362, -86.973625 34.311548, -87.092741 34.31232, -87.110111 34.313799, -87.105073 34.686037, -87.125013 34.701591, -87.129114 34.706415, -87.13357999999999 34.718693, -87.138858 34.724101, -87.171588 34.74286, -87.184808 34.748536, -87.197277 34.749945, -87.212867 34.759682, -87.222773 34.763226, -87.229721 34.764031, -87.250018 34.762314, -87.27857299999999 34.75276, -87.297905 34.750812, -87.344224 34.796493, -87.370249 34.804992, -87.425349 34.799754, -87.44998 34.80828, -87.48450800000001 34.813709, -87.494653 34.818808, -87.50899699999999 34.823122, -87.51533000000001 34.830774, -87.52436299999999 34.832384, -87.53548600000001 34.829546, -87.54629 34.830431, -87.555941 34.826103, -87.56628600000001 34.826027, -87.580637 34.821802, -87.584746 34.819188, -87.591475 34.809253, -87.613694 34.79903, -87.642627 34.793073, -87.66838799999999 34.782634, -87.67618899999999 34.78195, -87.707572 34.772919, -87.71664699999999 34.76558, -87.730617 34.746972, -87.74693000000001 34.742589, -87.761033 34.735303, -87.794939 34.732, -87.806963 34.732061, -87.81540099999999 34.734311, -87.83583299999999 34.741239, -87.843829 34.745717, -87.861315 34.762983, -87.91741399999999 34.801483, -87.927634 34.816658, -87.933618 34.83946, -87.93920300000001 34.850379, -87.952547 34.867949, -87.97322200000001 34.88255, -87.994561 34.888649, -88.03127499999999 34.904242, -88.040871 34.906613, -88.058395 34.90435, -88.07907899999999 34.894421, -88.097583 34.894675, -88.097888 34.892202, -88.099999 34.894095, -88.128221 34.903093, -88.138913 34.908892, -88.152413 34.919741, -88.15973 34.928971, -88.172539 34.9569, -88.19804600000001 34.990285, -88.20295900000001 35.008028))",34,-0.0002855909277035,1.232361377556113,5,8,5,#fb694a,#ca181d,#fb694a
