district,Count,Accuracy,Volume
AL02,6,0.10330440197822043,1.2466751147244597
AL05,34,-0.00028559092770355347,1.232361377556113
AR02,8,0.02623996221244275,1.4540343628552432
AZ01,2,0.005994831174687243,0.9202553856797162
AZ03,4,0.017185628609206915,1.0674815840064036
CA03,4,0.025218149931332173,1.1200751237878133
CA06,2,-0.13471689992787172,0.7165885576083326
CA12,55,-0.015739780079729745,0.9997015867464684
CA17,235,-0.0010611588920457055,1.0338142511705664
CA19,179,0.0373479451772933,1.0051222335237482
CA25,44,-0.08751647639067395,1.156455447723329
CA27,2,0.002882624285862667,0.4886005910085342
CA28,3,-0.02354951287001746,1.0366998710737054
CA38,5,-0.0034244699256915866,0.6983740356504876
CA39,719,0.0019657622813787183,1.0150648161507905
CA47,499,-0.004228688862665816,1.1408757108252199
CA48,6,-0.038669090507953086,0.9916269462316141
CA52,6,0.013151676928272626,2.4534601951193067
CA53,69,-0.01974652794308105,1.0531535857533654
CO04,1,-0.006446719757299935,1.213700454558615
CO05,114,-0.014754319454734415,1.0548831122126079
CO07,43,0.0021431285027303823,1.0549018301253967
CT01,32,-0.007843489480726468,1.4045232914293968
CT02,136,-0.0037810627673866585,0.9573252532602003
FL01,1,0.0,0.0
FL04,46,-0.0144970874370698,1.0324155910370028
FL06,2,0.05203237758745982,0.9336805158793864
FL12,4,-0.04738587884376433,0.6973453529737854
FL14,15,0.05966760601654571,0.9571904035484277
FL15,14,0.0452769785656581,0.7683518148917033
FL17,10,0.012691839825249452,0.9668452177654785
FL18,34,0.02614904872869502,1.1761912846639542
FL19,29,-0.02527371564686268,0.9385497556401912
FL21,323,0.007269892296681219,1.0657937460975524
FL23,13,-0.041213896890548433,0.9176175461959871
FL27,523,0.004698214842289906,1.2621166543720728
GA01,2,-0.010557940900680185,0.0
GA08,68,-0.08249106884382452,1.020321519867299
GA12,38,0.012361580712347147,1.0677111458432111
GA14,97,-0.02148076199694011,1.115954931268722
HI01,6,0.7113975925558544,0.6507211081922074
IA01,10,-0.024795757066889513,1.1170009128859442
IA03,170,0.0022257751998757446,1.0860719418400062
ID02,26,0.05872407655436784,2.8553264283590605
IL03,295,-0.018115181265479716,1.0395128054160836
IL10,5,0.0405000940498045,0.8437627456293739
IL16,18,-0.023710439977836,1.2118396887413396
IL17,9,-0.027599950341410544,1.2274416160238821
IN01,2,0.06255974881112064,0.9605965060596878
IN03,50,-0.016289257207056297,0.996196796946907
IN05,23,0.022366019802381697,1.1540629529306143
IN08,1,7.419678714859437,0.16691489510667218
IN09,44,-0.016629101546095298,1.0041142802821583
KS01,32,-0.038478718415646075,1.2524092725189522
KY01,10,-0.18261879880835113,1.369429263044427
KY03,98,0.020191257529307373,1.2000094839307587
KY04,1,-0.08785770637595935,0.4429862486718025
KY05,17,0.008340717009512229,0.4924206044302972
LA06,9,-0.019177213016486647,1.101136963737378
MA03,1,-0.016654131299022268,0.9700541355444391
MA04,1,-0.049910340705319856,1.7310719714756422
MA05,227,0.008823427913410628,1.1044575874008666
MA09,51,0.004799261054950504,1.6701995219339942
MD06,4,-0.07220724792550864,1.0068558327995438
MI03,252,-0.004995541933637392,1.1812339892634098
MI06,17,-0.04657239628350604,0.8215524169401576
MI12,20,-0.005092415683494322,1.2024222050311546
MN01,1,-0.05769674590353113,0.9918927923592344
MN03,417,0.000546345632106629,1.039335852754107
MO01,2,-0.009746710604467856,0.9979816541507142
MO07,28,0.10339814164050441,1.1979768614311854
MS03,4,0.005380390733096124,1.1538186561460506
MT00,452,-0.028629778369481617,0.9173521111463797
NC02,32,0.011751632080743035,1.0482940691553273
NC04,6,-0.06915837018044717,1.2643184506230265
NC05,176,-0.010266780920961718,1.0460616168447194
NC06,126,-0.011939245987998105,1.0610165976811312
NC07,10,-0.003329956769850928,1.0671272181821154
NC10,1,0.06081248451820653,1.200089213527001
NC11,1,0.01068585885424489,1.035035174479348
NJ05,897,0.009955271806409753,1.140748497658374
NJ06,10,0.017115569936589293,0.89236894194594
NJ07,102,-0.0004776570196697871,1.0629553203126612
NJ09,3,0.015576431787160875,1.208355028813977
NJ11,159,4.576191590143282e-05,1.4133678246616512
NV03,588,0.023569006830099343,1.1331580124543439
NY02,14,0.024005079131131313,0.5785997898917646
NY03,67,-0.0016199217835377556,0.9699263036513259
NY08,5,-0.005278614971447349,0.7202729761733325
NY18,7,0.018450569994129577,1.0202578373102489
NY25,16,-0.0417410513309787,1.0036171632089017
NY26,3,-0.05954249823413127,0.960307178425488
NY27,55,0.0054913207891630084,1.1850008625443014
OH05,1,-0.13735137351373516,2.7171314741035855
OH07,39,0.014098671409158966,0.9428192104981062
OH14,38,0.006856136285651299,0.8984369671236171
OH16,6,0.017088272123613874,1.0290432272154109
OK01,311,0.0158717191852424,1.0316632373223895
OK04,1,-0.058394160583941535,1.2167602784039164
OK05,1,-0.06635802469135799,1.1743776128730834
OR03,98,-0.0094612176599168,1.001953624889367
OR05,272,0.009573152609453966,0.8736423377185509
PA03,51,1.020456956796745e-05,1.0512532660210527
PA09,12,0.022363957168540494,1.1798006254271045
PA11,11,-0.01218095884268854,1.212795239539906
PA16,4,0.10973261915560839,1.1838121571835
RI02,198,-0.02849239366487511,1.1802414145948994
SC04,18,0.0062619426347139805,0.8061061808290035
SC07,11,0.059109748261455965,1.1890323687332194
TN01,18,-0.0004485485956634129,1.0908181938210815
TN02,1,0.03193517635843668,0.9709634843818742
TN03,82,-0.009846163539397023,0.5720507980403879
TN07,518,0.00939587556030706,1.1046360971142422
TN08,13,0.020363300483895272,1.1904831281243404
